,Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
112,Becker College,http://premium.usnews.com/best-colleges/\%22/best-colleges/becker-college-2123\%22,"RNP, Regional Colleges (North)",62.33%,3.0,1110 / 24
113,Belhaven University,http://premium.usnews.com/best-colleges/\%22/best-colleges/belhaven-university-2397\%22,"#59, Regional Universities (South)",46.58%,3.2,1150 / 25
114,Bellarmine University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bellarmine-university-1954\%22,"#16, Regional Universities (South)",86.08%,3.5,1200 / 27
118,Belmont Abbey College,http://premium.usnews.com/best-colleges/\%22/best-colleges/belmont-abbey-college-2910\%22,"#39, Regional Colleges (South)",64.33%,3.1,1130 / 24
119,Belmont University,http://premium.usnews.com/best-colleges/\%22/best-colleges/belmont-university-3479\%22,"#7, Regional Universities (South)",84.06%,3.5,1270 / 29
120,Beloit College,http://premium.usnews.com/best-colleges/\%22/best-colleges/beloit-college-3835\%22,"#59, National Liberal Arts Colleges",67.07%,3.5,1400 / 30
121,Bemidji State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bemidji-state-university-2336\%22,"#92, Regional Universities (Midwest)",93.38%,3.1,N/A / 23
123,Benedictine College,http://premium.usnews.com/best-colleges/\%22/best-colleges/benedictine-college-10256\%22,"#30, Regional Colleges (Midwest)",61.01%,3.5,1283 / 27
126,Bennett College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bennett-college-2911\%22,"RNP, National Liberal Arts Colleges",69.46%,2.8,830 / 20
127,Bennington College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bennington-college-3682\%22,"#100, National Liberal Arts Colleges",63.03%,3.5,1380 / 30
129,Berea College,http://premium.usnews.com/best-colleges/\%22/best-colleges/berea-college-1955\%22,"#76, National Liberal Arts Colleges",31.82%,3.4,1285 / 27
133,Berry College,http://premium.usnews.com/best-colleges/\%22/best-colleges/berry-college-1554\%22,"#126, National Liberal Arts Colleges",66.11%,3.7,1250 / 29
135,Bethany College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethany-college-3808\%22,"RNP, National Liberal Arts Colleges",43.01%,2.8,990 / 22
136,Bethany Lutheran College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethany-lutheran-college-2337\%22,"RNP, National Liberal Arts Colleges",78.00%,3.4,N/A / 27
137,Bethel College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethel-college-1787\%22,"#19, Regional Colleges (Midwest)",73.43%,3.4,1160 / 26
138,Bethel College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethel-college-1905\%22,"#19, Regional Colleges (Midwest)",64.88%,3.4,1260 / 27
140,Bethel University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethel-university-9058\%22,"#21, Regional Universities (Midwest)",93.12%,3.5,1306 / 28
141,Bethune-Cookman University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethune-cookman-university-1467\%22,"#41, Regional Colleges (South)",70.23%,2.9,900 / 18
143,Binghamton University--SUNY,http://premium.usnews.com/best-colleges/\%22/best-colleges/binghamton-university-suny-2836\%22,"#97, National Universities",42.87%,3.6,1385 / 30
144,Biola University,http://premium.usnews.com/best-colleges/\%22/best-colleges/biola-university-1122\%22,"#177, National Universities",74.66%,3.5,1230 / 27
145,Birmingham-Southern College,http://premium.usnews.com/best-colleges/\%22/best-colleges/birmingham-southern-college-1012\%22,"#115, National Liberal Arts Colleges",80.62%,3.5,1220 / 29
148,Blackburn College,http://premium.usnews.com/best-colleges/\%22/best-colleges/blackburn-college-1639\%22,"#49, Regional Colleges (Midwest)",61.28%,3.3,N/A / 26
150,Bloomfield College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bloomfield-college-2597\%22,"RNP, National Liberal Arts Colleges",54.64%,2.6,910
151,Bloomsburg University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/bloomsburg-university-of-pennsylvania-3315\%22,"#95, Regional Universities (North)",67.59%,3.3,1080 / 23
152,Blue Mountain College,http://premium.usnews.com/best-colleges/\%22/best-colleges/blue-mountain-college-2398\%22,"#23, Regional Colleges (South)",31.49%,3.5,1190 / 25
153,Bluefield College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bluefield-college-3703\%22,"#53, Regional Colleges (South)",53.21%,3.2,1030 / 20
154,Bluefield State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bluefield-state-college-3809\%22,"RNP, Regional Colleges (South)",46.78%,3.3,1030 / 21
155,Bluffton University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bluffton-university-3016\%22,"#25, Regional Colleges (Midwest)",58.49%,3.3,1160 / 24
156,Boise State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/boise-state-university-1616\%22,"#65, Regional Universities (West)",85.38%,3.4,1180 / 25
161,Boston University,http://premium.usnews.com/best-colleges/\%22/best-colleges/boston-university-2130\%22,"#41, National Universities",45.61%,3.6,1390 / 30
162,Bowdoin College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bowdoin-college-2038\%22,"#4, National Liberal Arts Colleges",15.78%,3.8,1520 / 33
163,Bowie State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bowie-state-university-2062\%22,"RNP, National Universities",48.14%,2.8,980 / 19
164,Bowling Green State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bowling-green-state-university-3018\%22,"#181, National Universities",73.55%,3.2,1130 / 24
165,Bradley University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bradley-university-1641\%22,"#5, Regional Universities (Midwest)",63.30%,3.7,1310 / 28
