,Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
933,Neumann University,http://premium.usnews.com/best-colleges/\%22/best-colleges/neumann-university-3988\%22,"RNP, Regional Universities (North)",71.26%,2.9,950 / 21
935,New College of Florida,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-college-of-florida-153704\%22,"#89, National Liberal Arts Colleges",59.57%,4.0,1410 / 31
936,New England College,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-england-college-2579\%22,"RNP, Regional Universities (North)",64.57%,2.7,1010 / 25
940,New Jersey City University,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-jersey-city-university-2613\%22,"RNP, Regional Universities (North)",43.67%,3.2,950
942,New Mexico Highlands University,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-mexico-highlands-university-2653\%22,"Unranked, Regional Universities (West)",100.00%,2.9,1000 / 19
943,New Mexico Institute of Mining and Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-mexico-institute-of-mining-and-technology-2654\%22,"#24, Regional Universities (West)",31.06%,3.7,1370 / 29
944,New Mexico State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-mexico-state-university-2657\%22,"#190, National Universities",80.06%,3.4,1120 / 24
946,New School,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-school-20662\%22,"#135, National Universities",65.03%,3.3,1245 / 27
947,New York Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-york-institute-of-technology-4804\%22,"#48, Regional Universities (North)",66.29%,3.5,1220 / 27
948,New York University,http://premium.usnews.com/best-colleges/\%22/best-colleges/new-york-university-2785\%22,"#32, National Universities",35.04%,3.6,1450 / 32
949,Newberry College,http://premium.usnews.com/best-colleges/\%22/best-colleges/newberry-college-3440\%22,"#35, Regional Colleges (South)",61.19%,3.4,1070 / 22
951,Newman University,http://premium.usnews.com/best-colleges/\%22/best-colleges/newman-university-1939\%22,"#108, Regional Universities (Midwest)",44.34%,3.6,1180 / 28
953,Nicholls State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/nicholls-state-university-2005\%22,"RNP, Regional Universities (South)",91.78%,3.2,1050 / 23
955,Norfolk State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/norfolk-state-university-3765\%22,"RNP, Regional Universities (South)",67.30%,2.8,940 / 19
956,North Carolina A&T State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-carolina-at-state-university-2905\%22,"RNP, National Universities",69.64%,3.3,980 / 21
957,North Carolina Central University,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-carolina-central-university-2950\%22,"#68, Regional Universities (South)",50.33%,3.0,930 / 19
958,North Carolina State University--Raleigh,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-carolina-state-university-raleigh-2972\%22,"#101, National Universities",49.61%,3.5,1300 / 29
959,North Carolina Wesleyan College,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-carolina-wesleyan-college-2951\%22,"#74, Regional Colleges (South)",46.76%,2.9,970 / 20
960,North Central College,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-central-college-1734\%22,"#13, Regional Universities (Midwest)",60.22%,3.6,N/A / 27
962,North Dakota State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-dakota-state-university-9265\%22,"#190, National Universities",83.55%,3.4,1230 / 26
963,North Greenville University,http://premium.usnews.com/best-colleges/\%22/best-colleges/north-greenville-university-3441\%22,"#30, Regional Colleges (South)",60.49%,3.5,1330 / 31
966,Northeastern Illinois University,http://premium.usnews.com/best-colleges/\%22/best-colleges/northeastern-illinois-university-1693\%22,"RNP, Regional Universities (Midwest)",62.91%,2.9,N/A / 21
967,Northeastern State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/northeastern-state-university-3161\%22,"RNP, Regional Universities (West)",75.70%,3.3,N/A / 23
969,Northern Arizona University,http://premium.usnews.com/best-colleges/\%22/best-colleges/northern-arizona-university-1082\%22,"RNP, National Universities",76.32%,3.4,1170 / 25
971,Northern Kentucky University,http://premium.usnews.com/best-colleges/\%22/best-colleges/northern-kentucky-university-9275\%22,"#77, Regional Universities (South)",46.70%,3.2,1103 / 25
972,Northern Michigan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/northern-michigan-university-2301\%22,"#76, Regional Universities (Midwest)",67.77%,3.1,N/A / 24
974,Northern State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/northern-state-university-3466\%22,"#56, Regional Colleges (Midwest)",89.84%,3.1,1110 / 24
975,Northland College,http://premium.usnews.com/best-colleges/\%22/best-colleges/northland-college-3875\%22,"#180, National Liberal Arts Colleges",66.28%,3.3,1250 / 27
976,Northwest Christian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/northwest-christian-university-3208\%22,"#20, Regional Colleges (West)",66.30%,3.4,1120 / 23
978,Northwest Missouri State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/northwest-missouri-state-university-2496\%22,"#102, Regional Universities (Midwest)",88.15%,3.3,1100 / 25
979,Northwest Nazarene University,http://premium.usnews.com/best-colleges/\%22/best-colleges/northwest-nazarene-university-1624\%22,"#39, Regional Universities (West)",67.17%,3.5,1220 / 27
980,Northwest University,http://premium.usnews.com/best-colleges/\%22/best-colleges/northwest-university-3783\%22,"#15, Regional Colleges (West)",86.92%,3.3,1140 / 24
981,Northwestern College,http://premium.usnews.com/best-colleges/\%22/best-colleges/northwestern-college-1883\%22,"#6, Regional Colleges (Midwest)",73.60%,3.5,1235 / 27
983,Northwestern Oklahoma State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/northwestern-oklahoma-state-university-3163\%22,"RNP, Regional Universities (West)",72.00%,3.2,N/A / 22
984,Northwestern State University of Louisiana,http://premium.usnews.com/best-colleges/\%22/best-colleges/northwestern-state-university-of-louisiana-2021\%22,"#92, Regional Universities (South)",84.93%,3.2,1096 / 24
987,Norwich University,http://premium.usnews.com/best-colleges/\%22/best-colleges/norwich-university-3692\%22,"#74, Regional Universities (North)",64.75%,3.1,1180 / 26
988,Notre Dame College of Ohio,http://premium.usnews.com/best-colleges/\%22/best-colleges/notre-dame-college-of-ohio-3085\%22,"#64, Regional Colleges (Midwest)",88.13%,3.0,1030 / 22
989,Notre Dame de Namur University,http://premium.usnews.com/best-colleges/\%22/best-colleges/notre-dame-de-namur-university-1179\%22,"#60, Regional Universities (West)",74.78%,3.1,1050 / 22
990,Notre Dame of Maryland University,http://premium.usnews.com/best-colleges/\%22/best-colleges/notre-dame-of-maryland-university-2065\%22,"#60, Regional Universities (North)",53.06%,3.4,1120 / 26
992,Nova Southeastern University,http://premium.usnews.com/best-colleges/\%22/best-colleges/nova-southeastern-university-1509\%22,"RNP, National Universities",55.53%,3.6,1170 / 26
994,Oakland City University,http://premium.usnews.com/best-colleges/\%22/best-colleges/oakland-city-university-1824\%22,"#92, Regional Universities (Midwest)",47.86%,3.1,1030 / 24
995,Oakland University,http://premium.usnews.com/best-colleges/\%22/best-colleges/oakland-university-2307\%22,"RNP, National Universities",62.14%,3.4,N/A / 26
997,Oberlin College,http://premium.usnews.com/best-colleges/\%22/best-colleges/oberlin-college-3086\%22,"#25, National Liberal Arts Colleges",31.34%,3.6,1460 / 32
998,Occidental College,http://premium.usnews.com/best-colleges/\%22/best-colleges/occidental-college-1249\%22,"#41, National Liberal Arts Colleges",39.36%,3.6,1400 / 32
1000,Oglethorpe University,http://premium.usnews.com/best-colleges/\%22/best-colleges/oglethorpe-university-1586\%22,"#165, National Liberal Arts Colleges",82.66%,3.4,1230 / 26
1002,Ohio Dominican University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ohio-dominican-university-3035\%22,"#92, Regional Universities (Midwest)",66.05%,3.2,1120 / 26
1003,Ohio Northern University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ohio-northern-university-3089\%22,"#2, Regional Colleges (Midwest)",80.53%,3.7,1280 / 28
1005,Ohio University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ohio-university-3100\%22,"#135, National Universities",77.70%,3.4,1200 / 26
1006,Ohio Valley University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ohio-valley-university-3819\%22,"#27, Regional Colleges (South)",41.54%,3.1,1100 / 25
1007,Ohio Wesleyan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ohio-wesleyan-university-3109\%22,"#100, National Liberal Arts Colleges",73.61%,3.5,1260 / 28
1008,Oklahoma Baptist University,http://premium.usnews.com/best-colleges/\%22/best-colleges/oklahoma-baptist-university-3164\%22,"#5, Regional Colleges (West)",61.97%,3.7,1220 / 26
1009,Oklahoma Christian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/oklahoma-christian-university-3165\%22,"#42, Regional Universities (West)",44.71%,3.5,1260 / 28
1010,Oklahoma City University,http://premium.usnews.com/best-colleges/\%22/best-colleges/oklahoma-city-university-3166\%22,"#24, Regional Universities (West)",74.79%,3.6,1240 / 28
1012,Oklahoma State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/oklahoma-state-university-3170\%22,"#142, National Universities",77.56%,3.5,1210 / 28
1015,Oklahoma Wesleyan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/oklahoma-wesleyan-university-3151\%22,"#8, Regional Colleges (West)",50.26%,3.3,1070 / 24
1016,Old Dominion University,http://premium.usnews.com/best-colleges/\%22/best-colleges/old-dominion-university-3728\%22,"RNP, National Universities",71.67%,3.3,1120 / 23
1018,Olivet Nazarene University,http://premium.usnews.com/best-colleges/\%22/best-colleges/olivet-nazarene-university-1741\%22,"#51, Regional Universities (Midwest)",79.89%,3.5,1220 / 27
1020,Oral Roberts University,http://premium.usnews.com/best-colleges/\%22/best-colleges/oral-roberts-university-3985\%22,"#54, Regional Universities (West)",52.09%,3.5,1170 / 25
1023,Oregon Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/oregon-institute-of-technology-3211\%22,"#6, Regional Colleges (West)",68.20%,3.4,1100 / 26
1024,Oregon State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/oregon-state-university-3210\%22,"#142, National Universities",78.83%,3.6,1230 / 27
1025,Otis College of Art and Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/otis-college-of-art-and-design-1251\%22,"Unranked, Arts Schools",54.92%,3.2,1160 / 26
1027,Otterbein University,http://premium.usnews.com/best-colleges/\%22/best-colleges/otterbein-university-3110\%22,"#17, Regional Universities (Midwest)",75.51%,3.5,1215 / 26
1028,Ouachita Baptist University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ouachita-baptist-university-1102\%22,"#173, National Liberal Arts Colleges",69.10%,3.6,1180 / 28
1031,Our Lady of the Lake University,http://premium.usnews.com/best-colleges/\%22/best-colleges/our-lady-of-the-lake-university-3598\%22,"RNP, National Universities",49.83%,3.3,1031 / 20
1032,Pace University,http://premium.usnews.com/best-colleges/\%22/best-colleges/pace-university-2791\%22,"#173, National Universities",76.83%,3.3,1190 / 26
1036,Pacific Union College,http://premium.usnews.com/best-colleges/\%22/best-colleges/pacific-union-college-1258\%22,"RNP, National Liberal Arts Colleges",47.27%,3.3,1170 / 24
1037,Pacific University,http://premium.usnews.com/best-colleges/\%22/best-colleges/pacific-university-3212\%22,"#20, Regional Universities (West)",84.57%,3.6,1210 / 26
1038,Paine College,http://premium.usnews.com/best-colleges/\%22/best-colleges/paine-college-1587\%22,"#74, Regional Colleges (South)",57.38%,2.6,880 / 18
1041,Park University,http://premium.usnews.com/best-colleges/\%22/best-colleges/park-university-2498\%22,"RNP, Regional Universities (Midwest)",69.28%,3.0,N/A / 23
1051,Pennsylvania State University--University Park,http://premium.usnews.com/best-colleges/\%22/best-colleges/pennsylvania-state-university-university-park-6965\%22,"#37, National Universities",54.20%,3.6,1300 / 29
1052,Pepperdine University,http://premium.usnews.com/best-colleges/\%22/best-colleges/pepperdine-university-1264\%22,"#57, National Universities",38.45%,3.5,1335 / 30
1054,Pfeiffer University,http://premium.usnews.com/best-colleges/\%22/best-colleges/pfeiffer-university-2955\%22,"#73, Regional Universities (South)",96.09%,3.5,1065 / 23
1055,Philadelphia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/philadelphia-university-3354\%22,"#81, Regional Universities (North)",71.90%,3.4,1150
1056,Philander Smith College,http://premium.usnews.com/best-colleges/\%22/best-colleges/philander-smith-college-1103\%22,"#72, Regional Colleges (South)",96.22%,3.0,1020 / 21
1057,Piedmont College,http://premium.usnews.com/best-colleges/\%22/best-colleges/piedmont-college-1588\%22,"#51, Regional Universities (South)",56.49%,4.0,1150 / 25
1059,Pittsburg State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/pittsburg-state-university-1926\%22,"#77, Regional Universities (Midwest)",79.29%,3.3,N/A / 24
1060,Pitzer College,http://premium.usnews.com/best-colleges/\%22/best-colleges/pitzer-college-1172\%22,"#35, National Liberal Arts Colleges",15.68%,3.8,1390 / 30
1062,Plymouth State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/plymouth-state-university-2591\%22,"#111, Regional Universities (North)",76.48%,2.9,1060 / 23
1063,Point Loma Nazarene University,http://premium.usnews.com/best-colleges/\%22/best-colleges/point-loma-nazarene-university-1262\%22,"#17, Regional Universities (West)",55.94%,3.8,1260 / 28
1064,Point Park University,http://premium.usnews.com/best-colleges/\%22/best-colleges/point-park-university-3357\%22,"#111, Regional Universities (North)",76.20%,3.2,1140 / 26
1065,Point University,http://premium.usnews.com/best-colleges/\%22/best-colleges/point-university-1547\%22,"RNP, Regional Colleges (South)",56.17%,3.2,990 / 21
1066,Polytechnic Institute of New York University,http://premium.usnews.com/best-colleges/\%22/best-colleges/polytechnic-institute-of-new-york-university-2796\%22,"#128, National Universities",62.06%,3.5,1400 / 30
1070,Portland State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/portland-state-university-3216\%22,"RNP, National Universities",70.06%,3.4,1160 / 26
1071,Post University,http://premium.usnews.com/best-colleges/\%22/best-colleges/post-university-1401\%22,"RNP, Regional Colleges (North)",55.27%,2.6,930 / 21
1073,Prairie View A&M University,http://premium.usnews.com/best-colleges/\%22/best-colleges/prairie-view-am-university-3630\%22,"RNP, Regional Universities (West)",41.40%,3.0,940 / 19
1074,Pratt Institute,http://premium.usnews.com/best-colleges/\%22/best-colleges/pratt-institute-2798\%22,"#20, Regional Universities (North)",61.63%,3.6,1290 / 28
1075,Presbyterian College,http://premium.usnews.com/best-colleges/\%22/best-colleges/presbyterian-college-3445\%22,"#126, National Liberal Arts Colleges",57.79%,3.5,1180 / 27
1076,Prescott College,http://premium.usnews.com/best-colleges/\%22/best-colleges/prescott-college-29022\%22,"#75, Regional Universities (West)",72.60%,3.1,1230 / 27
1078,Princeton University,http://premium.usnews.com/best-colleges/\%22/best-colleges/princeton-university-2627\%22,"#1, National Universities",7.85%,3.9,1590 / 35
1079,Principia College,http://premium.usnews.com/best-colleges/\%22/best-colleges/principia-college-1744\%22,"#107, National Liberal Arts Colleges",86.67%,3.3,1200 / 26
1080,Providence College,http://premium.usnews.com/best-colleges/\%22/best-colleges/providence-college-3406\%22,"#2, Regional Universities (North)",61.04%,3.4,1270 / 28
1082,Purchase College--SUNY,http://premium.usnews.com/best-colleges/\%22/best-colleges/purchase-college-suny-6791\%22,"#156, National Liberal Arts Colleges",33.36%,3.2,1180 / 27
1083,Purdue University--Calumet,http://premium.usnews.com/best-colleges/\%22/best-colleges/purdue-university-calumet-1827\%22,"RNP, Regional Universities (Midwest)",51.02%,3.0,1070
1084,Purdue University--North Central,http://premium.usnews.com/best-colleges/\%22/best-colleges/purdue-university-north-central-1826\%22,"RNP, Regional Colleges (Midwest)",72.12%,2.9,1050 / 23
1085,Purdue University--West Lafayette,http://premium.usnews.com/best-colleges/\%22/best-colleges/purdue-university-west-lafayette-1825\%22,"#68, National Universities",61.33%,3.7,1300 / 30
1086,Queens University of Charlotte,http://premium.usnews.com/best-colleges/\%22/best-colleges/queens-university-of-charlotte-2957\%22,"#18, Regional Universities (South)",52.74%,3.6,1170 / 26
1087,Quincy University,http://premium.usnews.com/best-colleges/\%22/best-colleges/quincy-university-1745\%22,"#77, Regional Universities (Midwest)",91.39%,3.3,1030 / 24
1088,Quinnipiac University,http://premium.usnews.com/best-colleges/\%22/best-colleges/quinnipiac-university-1402\%22,"#11, Regional Universities (North)",68.65%,3.4,1180 / 26
1089,Radford University,http://premium.usnews.com/best-colleges/\%22/best-colleges/radford-university-3732\%22,"#32, Regional Universities (South)",76.37%,3.2,1090 / 23
1090,Ramapo College of New Jersey,http://premium.usnews.com/best-colleges/\%22/best-colleges/ramapo-college-of-new-jersey-9344\%22,"#33, Regional Universities (North)",46.56%,3.3,1210
1091,Randolph College,http://premium.usnews.com/best-colleges/\%22/best-colleges/randolph-college-3734\%22,"#134, National Liberal Arts Colleges",83.18%,3.5,1220 / 27
1092,Randolph-Macon College,http://premium.usnews.com/best-colleges/\%22/best-colleges/randolph-macon-college-3733\%22,"#134, National Liberal Arts Colleges",53.96%,3.6,1190 / 26
1095,Regent University,http://premium.usnews.com/best-colleges/\%22/best-colleges/regent-university-30913\%22,"RNP, National Universities",82.90%,3.5,1120 / 26
1098,Regis University,http://premium.usnews.com/best-colleges/\%22/best-colleges/regis-university-1363\%22,"#27, Regional Universities (West)",90.44%,3.5,1220 / 27
1099,Reinhardt University,http://premium.usnews.com/best-colleges/\%22/best-colleges/reinhardt-university-1589\%22,"#60, Regional Colleges (South)",45.72%,3.0,1060 / 23
1100,Rensselaer Polytechnic Institute,http://premium.usnews.com/best-colleges/\%22/best-colleges/rensselaer-polytechnic-institute-2803\%22,"#41, National Universities",43.58%,3.7,1460 / 31
1104,Rhode Island School of Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/rhode-island-school-of-design-3409\%22,"Unranked, Arts Schools",25.38%,3.5,1360
1105,Rhodes College,http://premium.usnews.com/best-colleges/\%22/best-colleges/rhodes-college-3519\%22,"#54, National Liberal Arts Colleges",54.57%,3.8,1370 / 31
1109,Rider University,http://premium.usnews.com/best-colleges/\%22/best-colleges/rider-university-2628\%22,"#18, Regional Universities (North)",72.14%,3.3,1130 / 25
1111,Ripon College,http://premium.usnews.com/best-colleges/\%22/best-colleges/ripon-college-3884\%22,"#120, National Liberal Arts Colleges",77.53%,3.4,1240 / 27
1113,Roanoke College,http://premium.usnews.com/best-colleges/\%22/best-colleges/roanoke-college-3736\%22,"#126, National Liberal Arts Colleges",69.35%,3.4,1200 / 25
1115,Robert Morris University,http://premium.usnews.com/best-colleges/\%22/best-colleges/robert-morris-university-1746\%22,"#92, Regional Universities (Midwest)",27.94%,2.7,N/A / 22
1116,Robert Morris University,http://premium.usnews.com/best-colleges/\%22/best-colleges/robert-morris-university-3359\%22,"#85, Regional Universities (North)",82.34%,3.4,1150 / 24
1117,Roberts Wesleyan College,http://premium.usnews.com/best-colleges/\%22/best-colleges/roberts-wesleyan-college-2805\%22,"#74, Regional Universities (North)",46.52%,3.4,1190 / 27
1120,Rockford University,http://premium.usnews.com/best-colleges/\%22/best-colleges/rockford-university-1748\%22,"RNP, Regional Universities (Midwest)",40.14%,3.1,1070 / 23
1121,Rockhurst University,http://premium.usnews.com/best-colleges/\%22/best-colleges/rockhurst-university-2499\%22,"#20, Regional Universities (Midwest)",78.48%,3.6,1240 / 28
1122,Rocky Mountain College,http://premium.usnews.com/best-colleges/\%22/best-colleges/rocky-mountain-college-2534\%22,"#12, Regional Colleges (West)",63.55%,3.4,1090 / 25
1124,Roger Williams University,http://premium.usnews.com/best-colleges/\%22/best-colleges/roger-williams-university-4917\%22,"#37, Regional Universities (North)",77.14%,3.2,1180 / 26
1125,Rogers State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/rogers-state-university-3168\%22,"RNP, Regional Colleges (West)",54.83%,3.1,N/A / 23
1126,Rollins College,http://premium.usnews.com/best-colleges/\%22/best-colleges/rollins-college-1515\%22,"#1, Regional Universities (South)",55.77%,3.3,1280 / 29
1127,Roosevelt University,http://premium.usnews.com/best-colleges/\%22/best-colleges/roosevelt-university-1749\%22,"#77, Regional Universities (Midwest)",75.19%,3.2,1183 / 25
1129,Rose-Hulman Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/rose-hulman-institute-of-technology-1830\%22,"Unranked, Engineering Schools",65.47%,3.9,1400 / 32
1130,Rosemont College,http://premium.usnews.com/best-colleges/\%22/best-colleges/rosemont-college-3360\%22,"#101, Regional Universities (North)",49.95%,3.2,1070 / 22
1131,Rowan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/rowan-university-2609\%22,"#18, Regional Universities (North)",61.98%,3.3,1210
1139,Sacred Heart University,http://premium.usnews.com/best-colleges/\%22/best-colleges/sacred-heart-university-1403\%22,"#33, Regional Universities (North)",76.29%,3.3,1180 / 26
1140,Saginaw Valley State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/saginaw-valley-state-university-2314\%22,"RNP, Regional Universities (Midwest)",85.28%,3.2,N/A / 24
1141,Salem College,http://premium.usnews.com/best-colleges/\%22/best-colleges/salem-college-2960\%22,"#156, National Liberal Arts Colleges",73.23%,3.9,1220
1143,Salem State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/salem-state-university-2188\%22,"RNP, Regional Universities (North)",69.29%,3.1,1085
1144,Salisbury University,http://premium.usnews.com/best-colleges/\%22/best-colleges/salisbury-university-2091\%22,"#66, Regional Universities (North)",52.74%,3.7,1230 / 26
1146,Salve Regina University,http://premium.usnews.com/best-colleges/\%22/best-colleges/salve-regina-university-3411\%22,"#43, Regional Universities (North)",69.65%,3.2,1200 / 27
1148,Samford University,http://premium.usnews.com/best-colleges/\%22/best-colleges/samford-university-1036\%22,"#3, Regional Universities (South)",75.54%,3.7,1260 / 29
1150,San Diego Christian College,http://premium.usnews.com/best-colleges/\%22/best-colleges/san-diego-christian-college-12031\%22,"RNP, National Liberal Arts Colleges",42.62%,3.3,1000 / 22
1151,San Diego State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/san-diego-state-university-1151\%22,"#152, National Universities",31.33%,3.6,1200 / 26
1152,San Francisco Art Institute,http://premium.usnews.com/best-colleges/\%22/best-colleges/san-francisco-art-institute-3948\%22,"Unranked, Arts Schools",62.82%,3.0,1120 / 25
1154,San Francisco State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/san-francisco-state-university-1154\%22,"#54, Regional Universities (West)",63.84%,3.1,1110 / 24
1155,San Jose State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/san-jose-state-university-1155\%22,"#36, Regional Universities (West)",63.47%,3.3,1150 / 25
1157,Santa Clara University,http://premium.usnews.com/best-colleges/\%22/best-colleges/santa-clara-university-1326\%22,"#2, Regional Universities (West)",51.22%,3.6,1380 / 31
1160,Savannah College of Art and Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/savannah-college-of-art-and-design-29258\%22,"Unranked, Arts Schools",61.66%,3.5,1180 / 27
1162,School of the Art Institute of Chicago,http://premium.usnews.com/best-colleges/\%22/best-colleges/school-of-the-art-institute-of-chicago-1753\%22,"Unranked, Arts Schools",78.30%,3.4,1250 / 27
1163,School of Visual Arts,http://premium.usnews.com/best-colleges/\%22/best-colleges/school-of-visual-arts-7468\%22,"Unranked, Arts Schools",74.89%,3.1,1150 / 25
1164,Schreiner University,http://premium.usnews.com/best-colleges/\%22/best-colleges/schreiner-university-3610\%22,"Unranked, Regional Colleges (West)",63.40%,3.5,1100 / 24
1165,Scripps College,http://premium.usnews.com/best-colleges/\%22/best-colleges/scripps-college-1174\%22,"#25, National Liberal Arts Colleges",32.41%,4.0,1430 / 32
1167,Seattle University,http://premium.usnews.com/best-colleges/\%22/best-colleges/seattle-university-3790\%22,"#6, Regional Universities (West)",71.47%,3.6,1280 / 29
1168,Seton Hall University,http://premium.usnews.com/best-colleges/\%22/best-colleges/seton-hall-university-2632\%22,"#128, National Universities",84.39%,3.5,1200 / 27
1169,Seton Hill University,http://premium.usnews.com/best-colleges/\%22/best-colleges/seton-hill-university-3362\%22,"#12, Regional Colleges (North)",66.23%,3.5,1120 / 25
1170,Sewanee--University of the South,http://premium.usnews.com/best-colleges/\%22/best-colleges/sewanee-university-of-the-south-3534\%22,"#38, National Liberal Arts Colleges",58.77%,3.6,1350 / 30
1171,Shaw University,http://premium.usnews.com/best-colleges/\%22/best-colleges/shaw-university-2962\%22,"RNP, Regional Colleges (South)",54.49%,2.3,820 / 16
1173,Shenandoah University,http://premium.usnews.com/best-colleges/\%22/best-colleges/shenandoah-university-3737\%22,"#44, Regional Universities (South)",84.56%,3.4,1120 / 25
1174,Shepherd University,http://premium.usnews.com/best-colleges/\%22/best-colleges/shepherd-university-3822\%22,"RNP, Regional Universities (South)",81.02%,3.2,1100 / 24
1176,Shippensburg University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/shippensburg-university-of-pennsylvania-3326\%22,"#93, Regional Universities (North)",80.57%,3.2,1080 / 22
1178,Siena College,http://premium.usnews.com/best-colleges/\%22/best-colleges/siena-college-2816\%22,"#126, National Liberal Arts Colleges",57.45%,3.4,1220 / 27
1180,Sierra Nevada College,http://premium.usnews.com/best-colleges/\%22/best-colleges/sierra-nevada-college-9192\%22,"RNP, Regional Universities (West)",69.25%,2.9,1100 / 25
1182,Simmons College,http://premium.usnews.com/best-colleges/\%22/best-colleges/simmons-college-2208\%22,"#16, Regional Universities (North)",48.31%,3.3,1250 / 28
1185,Simpson University,http://premium.usnews.com/best-colleges/\%22/best-colleges/simpson-university-1291\%22,"RNP, National Liberal Arts Colleges",61.58%,3.5,1110 / 24
1189,Slippery Rock University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/slippery-rock-university-of-pennsylvania-3327\%22,"#93, Regional Universities (North)",63.19%,3.4,1090 / 23
1190,Smith College,http://premium.usnews.com/best-colleges/\%22/best-colleges/smith-college-2209\%22,"#20, National Liberal Arts Colleges",42.43%,3.9,1430 / 31
1192,Soka University of America,http://premium.usnews.com/best-colleges/\%22/best-colleges/soka-university-of-america-38144\%22,"#41, National Liberal Arts Colleges",45.80%,3.7,1340 / 28
1193,Sonoma State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/sonoma-state-university-1156\%22,"#42, Regional Universities (West)",81.86%,3.2,1110 / 23
1194,South Carolina State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/south-carolina-state-university-3446\%22,"RNP, National Universities",91.02%,2.9,890 / 18
1196,South Dakota School of Mines and Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/south-dakota-school-of-mines-and-technology-3470\%22,"Unranked, Engineering Schools",87.93%,3.5,1270 / 29
1197,South Dakota State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/south-dakota-state-university-3471\%22,"#201, National Universities",91.66%,3.3,1110 / 25
1201,Southeast Missouri State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/southeast-missouri-state-university-2501\%22,"#86, Regional Universities (Midwest)",97.24%,3.3,1175 / 25
1202,Southeastern Louisiana University,http://premium.usnews.com/best-colleges/\%22/best-colleges/southeastern-louisiana-university-2024\%22,"RNP, Regional Universities (South)",88.63%,3.2,N/A / 24
1203,Southeastern Oklahoma State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/southeastern-oklahoma-state-university-3179\%22,"RNP, Regional Universities (West)",74.92%,3.3,N/A / 23
1204,Southeastern University,http://premium.usnews.com/best-colleges/\%22/best-colleges/southeastern-university-1521\%22,"#36, Regional Colleges (South)",49.03%,3.4,1120 / 24
1206,Southern Arkansas University,http://premium.usnews.com/best-colleges/\%22/best-colleges/southern-arkansas-university-1107\%22,"RNP, Regional Universities (South)",64.58%,3.2,1070 / 24
